KG id,KG name,Sparql endpoint,SPARQL endpoint URL,Availability of RDF dump (metadata),Availability of RDF dump (query),URL for download the dataset,Inactive links,Creation date,Modification date,Percentage of data updated,Time elapsed since last modification,Historical updates,Languages (query),Languages (metadata),Serialization formats,Availability for download (query),Availability for download (metadata),Use HTTPS,Requires authentication,Average length of URIs (subject),Standard deviation lenght URIs (subject),Min length URIs (subject),25th percentile length URIs (subject),Median length URIs (subject),75th percentile length URIs (subject),Max length URIs (subject),Average length of URIs (predicate),Standard deviation lenght URIs (predicate),Min length URIs (predicate),25th percentile length URIs (predicate),Median length URIs (predicate),75th percentile length URIs (predicate),Max length URIs (predicate),Average length of URIs (object),Standard deviation lenght URIs (object),Min length URIs (object),25th percentile length URIs (object),Median length URIs (object),75th percentile length URIs (object),Max length URIs (object),Use RDF structures,License machine redeable (metadata),License machine redeable (query),License human redeable,Minimum latency,25th percentile latency,Median latency,75th percentile latency,Maximum latency,Average latency,Standard deviation of latency,Minimum throughput,25th percentile throughput,Median throughput,75th percentile throughput,Maximum throughput,Average throughput, Standard deviation of throughput, Number of triples (metadata),Number of triples (query),Number of entities,Number of entities counted with regex,Number of property,Dataset update frequency,Degree of connection,Clustering coefficient,Centrality,Number of samAs chains,External links,PageRank,Description,Dataset URL,Is on a trusted provider list,Trust value,Vocabularies,Author (query),Author (metadata),Contributor,Publisher,Sources,Signed, Number of triples,Number of triples linked,Interlinking completeness,New vocabularies defined in the dataset,New terms defined in the dataset,Number of labels/comments present on the data, Percentage of triples with labels,Regex uri,Presence of example,Number of blank nodes,Uses RDF structures,Deprecated classes/properties used,Entities as member of disjoint class,Triples with misplaced property problem,Triples with misplaced class problem,Ontology Hijacking problem,Undefined class used without declaration,Undefined properties used without declaration,Extensional conciseness,Intensional conciseness,Triples with empty annotation problem,Triples with white space in annotation(at the beginning or at the end),Triples with malformed data type literals problem,Functional properties with inconsistent values,Invalid usage of inverse-functional properties,Number of triples updated,Score,Normalized score,Limited,Offline dumps,Url file VoID,Availability VoID file,MinTPNoOff,MeanTPNoOff,MaxTPNoOff,sdTPNoOff,URIs Deferenceability
acorn-sat,Australian Climate Observations Reference Network - Surface Air Temperature Dataset,endpoint offline,http://lab.environment.data.gov.au/sparql,1,endpoint offline,"['http://lab.environment.data.gov.au/dumps/release/all_slices.zip', 'http://lab.environment.data.gov.au/dumps/release/observations.zip']",False,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,{},endpoint offline,endpoint offline,1,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Other (Attribution) - other-at -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,61406503,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,1,0,"0,001",endpoint offline,"['Name:geonames, value:583']","8,135173873595122e-05","ACORN-SAT, the Australian Climate Observations Reference Network - Surface Air Temperature data set, is a homogenized daily maximum and minimum temperature data set containing data from 112 locations across Australia extending from 1910 to the present.",http://lab.environment.data.gov.au,absent,"0,75",endpoint offline,endpoint offline,"Name: None, Email:firstname.lastname@csiro.au",endpoint offline,endpoint offline,Web:http://lab.environment.data.gov.au Name:Armin Haller Email:armin.haller@csiro.au,endpoint offline,61406503,583,0.00,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,True,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.537,0,endpoint offline,[],http://lab.environment.data.gov.au/data/acorn.rdf,VoID file offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
addgene,Addgene,endpoint absent,,0,endpoint absent,[],True,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,{},endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,16610,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,1,0,"0,001",endpoint absent,[],"8,156646747812483e-05","Data exposed: Addgene catalog (tab delimited file)

Size of dump and data set: 1.1 MB

Notes: provided to Science Commons by Addgene

### Openness: ?

T&C here: http://www.addgene.org/pgvec1?f=a&cmd=showfile&file=terms

However hard to work out what these mean ...",http://www.addgene.org/,absent,"0,75",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:http://www.addgene.org/ Name:Absent Email:Absent,endpoint absent,16610,0,0.00,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.237,0,endpoint absent,['http://purl.org/hcls/2007/kb-sources/addgene.ttl'],http://www.addgene.org//.well-known/void,VoID file offline,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
aegp-spanish-textile-and-clothing-association,"AEGP, Spanish Textile and Clothing Association",endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,{},endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,Creative Commons Non-Commercial (Any) - cc-nc -,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,88645,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,4,"0,833","0,002",endpoint absent,"['Name:nytimes-linked-open-data, value:223', 'Name:freebase, value:3933', 'Name:geonames-semantic-web, value:7547', 'Name:dbpedia, value:191']","8,420355813285399e-05","<p>
Semantic catalog of the <a href=""http://www.agrupaciontextil.org/"">Spanish Textile and Clothing Association (AEGP) companies</a>. AEGP is a voluntary professional national association that promotes the competitiveness of its companies through the promotion, defense and representation of their professional, economic and work interests. It offers specialized services that enhance their position in the environment. The catalog includes 2,500 textile and clothing companies.
</p>
<p>
AEGP works with <a href=""http://gnoss.com/"">GNOSS software (RIAM Intelearning Lab)</a>. RIAM is a company that develops semantic technology for the creation of specialized networks and linked markets. The project includes a faceted-based search engine and enriched contexts. Both are developments by GNOSS.
</p>

<p>
Catálogo semántico de las empresas de la <a href=""http://www.agrupaciontextil.org/"">Agrupación Española del Género de Punto (AEGP)</a>. AEGP es una asociación profesional voluntaria de ámbito estatal cuyo objetivo es impulsar la competitividad de las empresas asociadas, a través del fomento, la defensa y la representación de sus intereses laborales, profesionales y económicos y, mediante una oferta de servicios especializados que les permitan mejorar su posición en el entorno. El catálogo recoge 2500 empresas del sector.
</p>
<p>
AEGP trabaja con <a href=""http://gnoss.com/"">software de GNOSS (RIAM Intelearning Lab)</a>. RIAM es una compañía que desarrolla tecnología semántica para la creación de redes especializadas y mercados enlazados. El proyecto incluye un buscador facetado y contextos enriquecidos.
</p>",http://red.gnoss.com/comunidad/buscaempresas,absent,"0,75",endpoint absent,endpoint absent,"Name: GNOSS Team, Email:gnoss@gnoss.com",endpoint absent,endpoint absent,Web:http://red.gnoss.com/comunidad/buscaempresas Name:GNOSS Team Email:gnoss@gnoss.com,endpoint absent,88645,11894,0.13,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,True,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.444,0,endpoint absent,[],http://red.gnoss.com/voidAEGP.n3,VoID file offline,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
aemet,AEMET metereological dataset,Available,http://aemet.linkeddata.es/sparql,0,False,[],True,2011-02-28,2011-02-28,0.0008286542127520947%,4633,['2011-02-28|510'],"QueryBadFormed: A bad request has been sent to the endpoint: probably the SPARQL query is badly formed. 

Response:
b""37000 Error SP030: SPARQL compiler, line 5: syntax error at 'BIND' before '('\n\nSPARQL query:\n\n    SELECT DISTINCT ?triples \n    WHERE{\n    ?s ?p ?o.\n    BIND(LANG(?o) as ?triples)}\n    """,{},Could not process formulated query on indicated endpoint.,False,0,False,False,"82,08744186046512 (out of 10000 triples considered)","2,1600560856448663",45,"81,0","82,0","84,0",86,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,True,License not specified - notspecified -,Copyright 2009 - 2010 W3C.,"EndPointInternalError: The endpoint returned the HTTP status code 500. 

Response:
b'S1T00 Error SR171: Transaction timed out\n\nSPARQL query:\n\n    PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>\n    PREFIX dct: <http://purl.org/dc/terms/>\n    PREFIX schema: <http://schema.org/>\n    SELECT ?o\n    WHERE{\n        {?s rdfs:label  ?o}\n    UNION\n        {?s dct:description  ?o}\n    UNION\n        {?s rdfs:comment  ?o}\n    UNION\n        {?s rdfs:label  ?o}\n    UNION\n        {?s schema:description  ?o}\n    FILTER regex(?o,"".*(licensed?|copyrighte?d?).*(under|grante?d?|rights?).*"")\n    } \n    '","0,089","0,090","0,097","0,098","0,157","0,106","0,026",7,"10,0","11,0","11,0",11,"10,0","1,5491933384829668",62932032,61545575,,Insufficient data,94,Could not process formulated query on indicated enpdoint,2,0,"0,001",0,"['Name:DBpedia, value:82', 'Name:geolinkeddata, value:153']","8,319256100755194e-05",AemetLinked Data (.es) is an open initiative of the Ontology Engineering Group (OEG) whose aim is to enrich the Web of Data with Spanish geospatial data. This initiative started off by publishing diverse information sources belonging to the Spanish Meteorological Agency.,http://aemet.linkeddata.es/,absent,"0,75",[],Could not process formulated query on indicated enpdoint,"Name: Daniel Garijo, Jose Mora and Boris Villazón-Terrazas, Email:dgarijov@gmail.com",[],[],"Web:http://aemet.linkeddata.es/ Name:Ontology Engineering Group, Facultad de Informática, Universidad Politécnica de Madrid. Email:dgarijov@gmail.com",False,61545575,235,0.00,[],"['http://www.openlinksw.com/schemas/virtrdf#QuadMapFormat', 'http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapFormat', 'http://www.openlinksw.com/schemas/virtrdf#QuadMap', 'http://www.openlinksw.com/schemas/virtrdf#QuadMapValue', 'http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapColumn', 'http://www.openlinksw.com/schemas/virtrdf#QuadMapColumn', 'http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMapATable', 'http://www.openlinksw.com/schemas/virtrdf#QuadMapATable', 'http://www.openlinksw.com/schemas/virtrdf#QuadMapFText', 'http://www.openlinksw.com/schemas/virtrdf#array-of-string', 'http://www.openlinksw.com/schemas/virtrdf#QuadStorage', 'http://www.openlinksw.com/schemas/virtrdf#array-of-QuadMap', 'http://aemet.linkeddata.es/ontology/Observation', 'http://geo.linkeddata.es/ontology/Organizaci%C3%B3n', 'http://aemet.linkeddata.es/ontology/WeatherStation']",Could not process formulated query on indicated enpdoint,insufficient data,Could not process formulated query on indicated enpdoint,True,390,True,insufficient data,insufficient data,Unable to retrieve properties from the endpoint,Unable to retrieve properties from the endpoint,Impossible to retrieve the terms defined in the dataset,Unable to retrieve classes from the endpoint,1.0,0.9884 (out of 10000 triples considered),Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,Could not process formulated query on indicated endpoint,"1,0",-,-,510,0.915,0,True,['http://aemet.linkeddata.es/source/rdf/data.zip'],http://aemet.linkeddata.es/metadata/aemetvoid.ttl,VoID file available,10,"10,0",11,"1,5491933384829668",1.0
agenda-de-zaragoza,,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,[],{},,endpoint absent,[],None,False,absent,absent,"0,0",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.2,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
agrinepaldata,AgriNepalData,endpoint offline,http://agrinepaldata.com/sparql,-1,endpoint offline,[],True,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,{},endpoint offline,endpoint offline,-1,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Creative Commons Non-Commercial (Any) - cc-nc -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,1433631,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,2,"1,000","0,001",endpoint offline,"['Name:agrovoc, value:32294', 'Name:dbpedia, value:38469']","0,00023792501272466076",Ontology Based Data Access and Integration for Improving the Effectiveness of Farming in Nepal,Absent,absent,"0,5",endpoint offline,endpoint offline,"Name: Suresh Pokharel, Email:pokharel@informatik.uni-leipzig.de",endpoint offline,endpoint offline,Web:Absent Name:Mohamed Sherif Email:sherif@informatic.uni-leipzig.de,endpoint offline,1433631,70763,0.05,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,False,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.327,0,endpoint offline,[],,VoID file absent,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
agris,AGRIS,endpoint offline,http://202.45.139.84:10035/catalogs/fao/repositories/agris,-1,endpoint offline,[],True,endpoint offline,endpoint offline,insufficient data,insufficien data,insufficient data,endpoint offline,{},endpoint offline,endpoint offline,-1,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,Creative Commons Non-Commercial (Any) - cc-nc -,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,239565943,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,3,"0,333","0,002",endpoint offline,"['Name:fao-geopolitical-ontology, value:500000', 'Name:dbpedia, value:3000000', 'Name:agrovoc-skos, value:10000000']","0,002416578871087742",AGRIS is one of the most important world-wide information systems in the area of the agricultural sciences. AGRIS is an initiative that was set up by FAO of the United Nations in 1974 to make information on agriculture research globally available. The historical overall objective of AGRIS is to improve access and exchange of information serving “the information needs of developed and developing countries on a partnership basis”.,http://agris.fao.org/aos/records/info.html,absent,"0,75",endpoint offline,endpoint offline,"Name: FAO-OPCC, Email:fabrizio.celli@fao.org",endpoint offline,endpoint offline,Web:http://agris.fao.org/aos/records/info.html Name:FAO OEKC Email:agris@fao.org,endpoint offline,239565943,13500000,0.06,endpoint offline,endpoint offline,endpoint offline,insufficient data,endpoint offline,True,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,insufficient data,0.39,0,endpoint offline,[],http://agris.fao.org/void.ttl,VoID file offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline,endpoint offline
agrovoc,,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,12,"0,152","0,006",endpoint absent,[],"0,000305970135842257",False,absent,absent,"0,0",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.2,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
agrovoc-skos,,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,10,"0,133","0,005",endpoint absent,[],"0,001815704148928793",False,absent,absent,"0,0",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.2,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
AISHE,,endpoint absent,,-1,endpoint absent,[],False,endpoint absent,endpoint absent,insufficient data,insufficien data,insufficient data,endpoint absent,absent,endpoint absent,endpoint absent,-1,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,0,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,2,0,"0,001",endpoint absent,[],"0,0005419319875355642",False,absent,absent,"0,0",endpoint absent,endpoint absent,False,endpoint absent,endpoint absent,Web:absent Name:absent Email:absent,endpoint absent,0,0,0,endpoint absent,endpoint absent,endpoint absent,insufficient data,endpoint absent,False,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,insufficient data,0.2,0,endpoint absent,[],,VoID file absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent,endpoint absent
